year,cz,youth_high,youth_low,young_high,young_low,old_high,old_low,annual_wage_high,annual_wage_low,employed_pop_high,employed_pop_low,hourly_wage_high,hourly_wage_low,mean_rent,n_renters,pm25_mean,pm25_n_monitors,ozone_mean,ozone_n_obs,pm25_imputed,imputation_method,pm25_final,pm25_is_imputed,in_returns,in_exemptions,in_agi,out_returns,out_exemptions,out_agi,net_returns,net_exemptions,net_agi,total_emp,total_est,total_payroll,accommodation_food,administrative,agriculture,arts_entertainment,construction,education,finance,health_care,information,management,manufacturing,mining,other_services,professional_services,real_estate,retail,transportation,utilities,wholesale,high_skill_share,pollution_share,lon,lat,total_pop,share_old,share_young,share_high_skill,share_low_skill,skill_wage_premium,log_total_pop,log_pm25_mean,log_ozone_mean,log_mean_rent,log_hourly_wage_high,log_hourly_wage_low,log_total_emp
2016,100.0,0.0,0.0,19450.0,36772.0,8563.0,21403.0,62235.00923660692,32283.67673480457,20029.0,29499.0,31.93415912790395,17.352050217770834,736.3913655928003,38335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,86188.0,0.3476818118531582,0.6523181881468418,0.32502204483222724,0.6749779551677728,1.84036806758426,11.364286235824125,,,6.6017617241310305,3.4636762559295806,2.8537106675827895,
2017,100.0,0.0,0.0,21061.0,35149.0,8019.0,23819.0,73141.52504620634,30385.30368244859,21101.0,29274.0,34.172169231787414,16.971068308684313,858.2496890464975,37787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,88048.0,0.3615982191531892,0.6384017808468109,0.33027439578411777,0.6697256042158822,2.0135543980045782,11.38563739929954,,,6.754895070026635,3.5314115476295447,2.831510030045146,
2018,100.0,0.0,0.0,20424.0,37016.0,7759.0,23019.0,70040.30651148791,32712.365669323943,19934.0,28977.0,35.28157531028404,17.155995727834874,773.031176281364,37304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,88218.0,0.34888571493346027,0.6511142850665397,0.3194699494434242,0.6805300505565758,2.0565157435333923,11.387566302805713,,,6.6503193793153486,3.563360881793777,2.842347717635885,
2019,100.0,0.0,0.0,37781.0,74409.0,16938.0,46715.0,74463.56395393971,35421.90117964063,38645.0,63833.0,36.61280809946008,18.816921454932253,888.5373845206323,73065.0,6.487179,8.0,0.0322679166666666,492.0,,,6.487179,False,,,,,,,,,,1041879.0,63377.0,41431610.0,119552.0,60530.0,279.0,6876.0,36431.0,7288.0,31187.0,174515.0,12609.0,20548.0,92431.0,3039.0,39191.0,19898.0,9024.0,147965.0,32684.0,843.0,24372.0,0.2356290893664235,0.0927094221113968,-82.37883229615474,36.490820087881175,175843.0,0.36198768219377514,0.6380123178062249,0.31118099668454247,0.6888190033154575,1.9457384773141628,12.077346830456426,1.8698277674990569,-3.4336818344486577,6.789576722703495,3.600398127262455,2.9347565423991617,13.856536371711979
2020,100.0,0.0,0.0,42020.0,73020.0,18586.0,49381.0,70195.885344107,37345.15325042689,43068.0,57977.0,40.19672351919275,21.14798693082368,883.7255008048045,73931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,183007.0,0.37139016540350916,0.6286098345964909,0.3311676602534329,0.6688323397465671,1.9007352165801226,12.117279682458113,,,6.784146494964917,3.6937854878056107,3.051544720386616,
2021,100.0,0.0,0.0,45557.0,70052.0,18475.0,50544.0,81528.0441999825,36882.254092948446,45724.0,59065.0,40.621882613790746,21.12729884055544,1002.6510214570216,77830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,184628.0,0.3738273717962606,0.6261726282037394,0.3468163008861061,0.6531836991138938,1.922720122451905,12.126098268855355,,,6.910402792679839,3.7043069020450345,3.0505659881773735,
2022,100.0,0.0,0.0,39933.0,91601.0,19415.0,64689.0,80565.9370809313,42205.866004203584,40417.0,75174.0,40.34779828520137,22.72852625928009,936.5904109402082,73271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,215638.0,0.39002402174013856,0.6099759782598614,0.27522050844470825,0.7247794915552918,1.7752052123805127,12.281356354805473,,,6.842246058537953,3.6975368278046923,3.123620798951196,
2023,100.0,0.0,0.0,39485.0,101966.0,23869.0,72212.0,79251.48284468136,42639.43575707741,41270.0,85130.0,39.27991108640101,22.97507363587285,940.6516700098704,62814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,237532.0,0.40449707828839904,0.595502921711601,0.26671774750349425,0.7332822524965057,1.7096750900101618,12.378057630222745,,,6.846572901034153,3.6707132198992074,3.1344098732800467,
2000,200.0,,,,,,,,,,,,,,,,,,,16.54378515561261,IDW_k5,16.54378515561261,True,,,,,,,,,,342594.0,31706.0,7618368.0,60197.0,11664.0,0.0,8211.0,10654.0,381.0,6583.0,16485.0,1289.0,295.0,56847.0,0.0,12106.0,3857.0,6877.0,53460.0,6802.0,227.0,6120.0,0.0834661435985452,0.1665936939934733,-83.3863302341505,35.987334715718056,0.0,,,,,,,,,,,,12.744301351583948
2010,200.0,,,,,,,,,,,,,,,,,0.0462292849936948,793.0,,,,False,3412.0,6964.0,113262.0,3666.0,6924.0,108428.0,-254.0,40.0,4834.0,326170.0,31346.0,8996660.0,69574.0,6484.0,0.0,9409.0,11584.0,448.0,8570.0,20831.0,1126.0,2447.0,30254.0,0.0,12174.0,5486.0,9350.0,53959.0,4748.0,0.0,3815.0,0.1117852653524235,0.0927553116473004,-83.3863302341505,35.987334715718056,0.0,,,,,,,,-3.074141807385518,,,,12.695173996822005
